date,metr_actual,max_compute,kaplan_predicted,lucr
2019-03-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2019-04-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2019-05-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2019-06-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2019-07-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2019-08-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2019-09-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2019-10-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2019-11-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2019-12-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2020-01-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2020-02-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2020-03-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2020-04-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2020-05-01,0.0,7.936e+20,-0.052184538966174004,-0.052184538966174004
2020-06-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2020-07-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2020-08-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2020-09-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2020-10-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2020-11-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2020-12-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2021-01-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2021-02-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2021-03-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2021-04-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2021-05-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2021-06-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2021-07-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2021-08-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2021-09-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2021-10-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2021-11-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2021-12-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2022-01-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2022-02-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2022-03-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2022-04-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2022-05-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2022-06-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2022-07-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2022-08-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2022-09-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2022-10-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2022-11-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2022-12-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2023-01-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2023-02-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2023-03-01,0.009917128649513015,3.14e+23,-0.013807658315840632,-0.02372478696535365
2023-04-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2023-05-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2023-06-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2023-07-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2023-08-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2023-09-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2023-10-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2023-11-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2023-12-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2024-01-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2024-02-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2024-03-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2024-04-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2024-05-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2024-06-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2024-07-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2024-08-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2024-09-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2024-10-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2024-11-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2024-12-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2025-01-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2025-02-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2025-03-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2025-04-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2025-05-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2025-06-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2025-07-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2025-08-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2025-09-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2025-10-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
2025-11-01,0.04417429419652474,2.1e+25,0.02612815278427416,-0.018046141412250576
