Model,compute,eci,date,log_compute
gpt-5-2025-08-07_high,6.6e+25,149.63110287022786,2025-08-07,25.81954393554187
gpt-4-0613,2.1e+25,122.10983844787572,2023-06-13,25.32221929473392
gpt-4-0314,2.1e+25,125.6972661914446,2023-03-14,25.32221929473392
qwen3-max-2025-09-23,1.512e+25,140.77336656932906,2025-09-24,25.17955179116519
gpt-5-2025-08-07_medium,6.6e+25,150.0,2025-08-07,25.81954393554187
grok-4-0709,5.0000000000001e+26,145.89868574783725,2025-07-09,26.698970004336026
Kimi-K2-Instruct,2.976e+24,134.87104890643565,2025-07-12,24.47363292687384
claude-3-5-sonnet-20241022,2.700000000000001e+25,133.59354254461562,2024-10-22,25.431363764158988
claude-3-5-sonnet-20240620,2.700000000000001e+25,130.0,2024-06-20,25.431363764158988
claude-3-7-sonnet-20250219_64K,3.35e+25,139.22500862973092,2025-02-24,25.525044807036846
DeepSeek-R1-0528,4.020010000000001e+24,139.6979429366786,2025-05-28,24.60422713341766
grok-3-beta,3.5000000000000006e+26,138.0731900059859,2025-04-09,26.544068044350276
qwen3-235b-a22b,4.752e+24,135.53653027193312,2025-04-29,24.676876431973138
DeepSeek-R1,4.020010000000001e+24,138.0353561386285,2025-01-20,24.60422713341766
DeepSeek-V3-0324,3.4078e+24,136.2146698374888,2025-03-24,24.532474098581414
claude-3-7-sonnet-20250219,3.35e+25,136.22375401642412,2025-02-24,25.525044807036846
Llama-4-Maverick-17B-128E-Instruct-FP8,2.244000000001e+24,133.55734422644446,2025-04-05,24.351022852584318
Llama-4-Scout-17B-16E-Instruct,4.08e+24,128.87951307007526,2025-04-05,24.61066016308988
mistral-small-2501,1.152e+24,126.74170254231626,2025-01-25,24.061452479087194
gemma-3-27b-it,2.268e+24,129.63682471159188,2025-03-12,24.35564305022087
claude-3-7-sonnet-20250219_32K,3.35e+25,139.07826283189505,2025-02-24,25.525044807036846
DeepSeek-V3,3.4078e+24,132.39011298250054,2024-12-26,24.532474098581414
gemma-2-27b-it,2.106e+24,122.8027053328558,2024-06-24,24.32345836684947
gemma-2-9b-it,4.32e+23,119.3049222943616,2024-06-24,23.635483746814913
claude-2.0,3.866e+24,119.77402787499454,2023-07-11,24.587261849692535
claude-3-7-sonnet-20250219_16K,3.35e+25,138.2861901117185,2025-02-24,25.525044807036846
grok-2-1212,2.9599999999999996e+25,130.29106052793486,2024-12-12,25.47129171105894
mistral-large-2411,2.13e+25,128.47801620534253,2024-11-18,25.328379603438737
gpt-4.5-preview-2025-02-27,2.1000001e+26,136.48917793325506,2025-02-27,26.322219315414607
Meta-Llama-3-70B-Instruct,7.861e+24,121.8105861196573,2024-04-18,24.895477796275713
Llama-3.3-70B-Instruct,6.8649768e+24,127.46968167219563,2024-12-06,24.836639073889014
qwen2.5-32b-instruct,3.51e+24,128.43410550684354,2024-09-17,24.545307116465825
Llama-3.1-8B-Instruct,1.224e+24,115.6180631627177,2024-07-23,24.08778141780954
Llama-3.1-405B-Instruct,3.8e+25,128.04915861353754,2024-07-23,25.57978359661681
qwen2.5-72b-instruct,7.8e+24,129.68976725568717,2024-09-19,24.89209460269048
Llama-3.1-70B-Instruct,7.929e+24,125.5640397175186,2024-07-23,24.899218417851372
Meta-Llama-3-8B-Instruct,7.2e+23,116.39642238244522,2024-04-18,23.85733249643127
phi-4,9.3202015e+23,130.0969230497018,2024-12-12,23.969425301773736
mistral-large-2407,2.13e+25,127.3629568966188,2024-07-24,25.328379603438737
Phi-3-medium-128k-instruct,4.032e+23,120.40241099265413,2024-04-23,23.60552052343747
qwen2-72b-instruct,3.02e+24,125.39194514919993,2024-06-07,24.48000694295715
mpt-7b,4.2e+22,94.2998837148508,2023-05-05,22.6232492903979
Baichuan-2-7B-Base,1.092e+23,94.353239677763,2023-09-20,23.03822263836872
Baichuan-2-13B-Base,2.03e+23,102.51022598385993,2023-09-06,23.307496037913214
LLaMA-7B,4.00000001e+22,96.0794493642578,2023-02-24,22.6020599924137
LLaMA-13B,7.8e+22,100.61949981052346,2023-02-27,22.89209460269048
LLaMA-33B,2.7300000000001e+23,108.7365909074187,2023-02-27,23.43616264704077
LLaMA-65B,5.5e+23,111.75738942693508,2023-02-24,23.740362689494244
Llama-2-7b,8.4e+22,98.40289020295636,2023-07-18,22.924279286061882
Llama-2-13b,1.6e+23,105.34904664449547,2023-07-18,23.204119982655925
Llama-2-70b-hf ,8.1e+23,116.75423942181996,2023-07-18,23.90848501887865
Qwen-7B,1.01e+23,107.00693492109085,2023-09-28,23.00432137378264
Qwen-14B,2.5e+23,113.46325222769129,2023-09-28,23.397940008672037
Inflection-1,1.0001e+24,119.17230051697888,2023-06-22,24.000043427276864
falcon-7b,6.3e+22,95.11773385249916,2023-04-24,22.799340549453582
falcon-40b,2.4e+23,104.47160849817834,2023-03-15,23.380211241711606
falcon-180B,3.76e+24,114.0371979847717,2023-09-06,24.57518784492766
amazon.nova-pro-v1:0,6.000010000000001e+24,125.71126032501576,2024-12-03,24.778151974207177
gemma-2b,4.5115822e+22,94.1800117410086,2024-02-21,22.654328874522296
gemma-7b,3.07e+23,111.3155319823652,2024-02-21,23.487138375477187
Baichuan-7B,5.04e+22,92.50052768115052,2023-06-01,22.702430536445526
DeepSeek-V2,1.02e+24,125.8075560077454,2024-05-07,24.008600171761916
Qwen2.5-72B,7.8e+24,126.25379759145424,2024-09-19,24.89209460269048
Llama-3.1-405B,3.8e+25,130.29707569350853,2024-07-23,25.57978359661681
mpt-30b,1.8900000000001e+23,99.17825259561889,2023-06-22,23.276461804173266
Llama-2-34b,4.08e+23,106.30733408686524,2023-07-18,23.61066016308988
Mixtral-8x7B-v0.1,7.74e+23,118.38940805504868,2023-12-11,23.88874096068289
Nemotron-4 15B,7.5005116e+23,106.06200505514288,2024-02-26,23.875090887055606
xgen-7b-8k-base,8.02e+22,93.30117087747902,2023-06-27,22.904174368284163
Cerebras-GPT-13B,2.3e+22,77.37679386680217,2023-03-20,22.361727836017593
Yi-6B,1.26e+23,103.48993914425256,2023-11-02,23.100370545117563
Phi-3-mini-4k-instruct,7.524e+22,119.00935770302898,2024-04-23,22.876448786878342
Phi-3-small-8k-instruct,2.1312e+23,121.27200742336426,2024-04-23,23.328624207490208
phi-2,2.27e+22,112.08793265072175,2023-12-12,22.356025857193124
Qwen2.5-Coder-1.5B,5.082e+22,104.22287645079513,2024-09-18,22.70603466071435
Qwen2.5-Coder-7B,2.5113e+23,113.63585313874802,2024-09-18,23.39989859664846
Qwen2.5-Coder-32B,1.0725e+24,119.85744390996264,2024-09-18,24.030397300856762
phi-1_5,1.17e+21,92.61473308375017,2023-09-11,21.068185861746162
Llama-4-Maverick-17B-128E-Instruct,2.244000000001e+24,129.36617561800267,2025-04-05,24.351022852584318
Qwen2.5-VL-72B-Instruct,7.8e+24,129.99451863697354,2024-09-19,24.89209460269048
